economy,time,SH.UHC.NOP1.CG,SH.UHC.NOP2.TO,SH.UHC.OOPC.25.ZS
MNE,YR2008,0.0,0.0,1.120594
MNE,YR2012,,,
MNG,YR1992,,,
MNG,YR1996,,,
MNG,YR2000,,,
MNG,YR2004,,,
MNG,YR2008,,,
MNG,YR2012,0.0001207,4000.0,0.4609934
MNP,YR1992,,,
MNP,YR1996,,,
MNP,YR2000,,,
MNP,YR2004,,,
MNP,YR2008,,,
MNP,YR2012,,,
MOZ,YR1992,,,
MOZ,YR1996,,,
MOZ,YR2000,,,
MOZ,YR2004,,,
MOZ,YR2008,0.0046889,28000.0,0.3073859
MOZ,YR2012,,,
MRT,YR1992,,,
MRT,YR1996,,,
MRT,YR2000,,,
MRT,YR2004,0.0029946,37000.0,1.807731
MRT,YR2008,,,
MRT,YR2012,,,
MUS,YR1992,,,
MUS,YR1996,,,1.01509
MUS,YR2000,,,
MUS,YR2004,,,
MUS,YR2008,,,
MUS,YR2012,,,
MWI,YR1992,,,
MWI,YR1996,,,
MWI,YR2000,,,
MWI,YR2004,,,
MWI,YR2008,,,
MWI,YR2012,,,
MYS,YR1992,,,
MYS,YR1996,,,
MYS,YR2000,,,
MYS,YR2004,0.0001614,58000.0,0.0360483
MYS,YR2008,,,
MYS,YR2012,,,
NAC,YR1992,,,
NAC,YR1996,,,
NAC,YR2000,,10000.0,1.00493943548211
NAC,YR2004,,,
NAC,YR2008,,,
NAC,YR2012,,,
NAM,YR1992,,,
NAM,YR1996,,,
NAM,YR2000,,,
NAM,YR2004,,,
NAM,YR2008,,,
NAM,YR2012,,,
NCL,YR1992,,,
NCL,YR1996,,,
NCL,YR2000,,,
NCL,YR2004,,,
NCL,YR2008,,,
NCL,YR2012,,,
NER,YR1992,,,
NER,YR1996,,,
NER,YR2000,,,
NER,YR2004,,,
NER,YR2008,,,
NER,YR2012,,,
NGA,YR1992,,,
NGA,YR1996,,,
NGA,YR2000,,,
NGA,YR2004,,,
NGA,YR2008,,,
NGA,YR2012,,,
NIC,YR1992,,,
NIC,YR1996,,,
NIC,YR2000,,,
NIC,YR2004,,,
NIC,YR2008,,,
NIC,YR2012,,,
NLD,YR1992,,,
NLD,YR1996,,,
NLD,YR2000,,,
NLD,YR2004,,,
NLD,YR2008,,,
NLD,YR2012,,,
NOR,YR1992,,,
NOR,YR1996,,,0.9191697
NOR,YR2000,,,
NOR,YR2004,,,
