year,city,iso,country,region,olympic_type,population,GDP_constant_2010_USD,land_area_km_sq,notes,population_%,GDP_%,land_area_%
1992,Barcelona,URY,Uruguay,Americas,summer,3154855,23901642371,175020,,0.000596777589,0.0006277272985,0.001582178855
1992,Barcelona,VUT,Vanuatu,Oceania,summer,155243,397925067.1,12190,,0.00002936602261,0.00001045068048,0.0001101974645
1992,Barcelona,VEN,Venezuela,Americas,summer,20799075,273469000000,882050,,0.003934387423,0.007182098783,0.007973722199
1992,Barcelona,VNM,Vietnam,Asia,summer,68450100,33913272582,325490,,0.01294813411,0.0008906620997,0.002942425983
1992,Barcelona,VIR,Virgin Islands (US),Americas,summer,105711,3980912000,350,2002 GDP Data,0.00001999646758,0.0001045504362,0.000003163996111
1992,Barcelona,WSM,Samoa,Oceania,summer,165570,370606139.2,2830,,0.00003131949501,0.000009733205231,0.00002558316855
1992,Barcelona,YEM,Yemen,Asia,summer,13325583,13487507548,527970,,0.002520689317,0.0003542215445,0.004772842933
1992,Barcelona,COD,Congo (Kinshasa),Africa,summer,37346147,18961251442,2267050,,0.007064458927,0.0004979781288,0.02049410681
1992,Barcelona,ZMB,Zambia,Africa,summer,8452275,8240070980,743390,,0.001598846317,0.0002164084549,0.006720237339
1992,Barcelona,ZWE,Zimbabwe,Africa,summer,10682868,12437567460,386850,,0.002020788977,0.0003266470354,0.003497119701
1992,Albertville,DZA,Algeria,Africa,winter,27181094,92521819702,2381740,,0.007488433329,0.002655287755,0.03172811214
1992,Albertville,AND,Andorra,Europe,winter,58888,2018600970,470,,0.00001622373485,0.00005793191763,0.000006261058178
1992,Albertville,ARG,Argentina,Americas,winter,33655151,245192000000,2736690,,0.009272046021,0.007036775944,0.0364565432
1992,Albertville,AUS,Australia,Oceania,winter,17495000,611757000000,7682300,,0.00481989949,0.01755684093,0.1023389941
1992,Albertville,AUT,Austria,Europe,winter,7840709,275136000000,82580,,0.002160127425,0.007896140112,0.001100081243
1992,Albertville,BEL,Belgium,Europe,winter,10045158,341164000000,30280,,0.002767456526,0.009791080575,0.0004033720034
1992,Albertville,BMU,Bermuda,Americas,winter,58595,3627837777,50,,0.00001614301289,0.0001041154752,0.0000006660700189
1992,Albertville,BOL,Bolivia,Americas,winter,7131707,9964277909,1083300,,0.001964796281,0.000285965248,0.01443107303
1992,Albertville,BRA,Brazil,Americas,winter,154564278,1205110000000,8358140,,0.04258269704,0.03458550466,0.1113421294
1992,Albertville,BGR,Bulgaria,Europe,winter,8540164,30811151715,110630,,0.002352828357,0.0008842505922,0.001473746524
1992,Albertville,CAN,Canada,Americas,winter,28519597,1001280000000,9093510,,0.007857192971,0.02873577856,0.1211382876
1992,Albertville,CHL,Chile,Americas,winter,13671033,94389329346,743532,,0.003766390682,0.002708883496,0.009904887466
1992,Albertville,CHN,China,Asia,winter,1164970000,1035550000000,9326410,,0.3209510322,0.02971929479,0.1242408417
1992,Albertville,CRI,Costa Rica,Americas,winter,3257466,17031647015,51060,,0.0008974369083,0.0004887919835,0.0006801907033
1992,Albertville,HRV,Croatia,Europe,winter,4470000,38038134584,55910,,0.001231491896,0.00109165809,0.0007447994951
1992,Albertville,CYP,Cyprus,Asia,winter,800609,13521404739,9240,,0.0002205690146,0.0003880513867,0.0001230897395
1992,Albertville,CZE,Czech Republic,Europe,winter,10319123,127113000000,77270,,0.002842934306,0.003648021553,0.001029344607
1992,Albertville,DNK,Denmark,Europe,winter,5171370,236866000000,42430,,0.001424720413,0.006797827706,0.000565227018
1992,Albertville,EST,Estonia,Europe,winter,1533091,10894540082,42390,,0.0004223689356,0.0003126628829,0.000564694162
1992,Albertville,FIN,Finland,Europe,winter,5041992,152008000000,304590,,0.001389076574,0.004362484248,0.004057565341
1992,Albertville,FRA,France,Europe,winter,58851216,1957930000000,547566,,0.0162136008,0.0561907188,0.007294345919
1992,Albertville,DEU,Germany,Europe,winter,80624598,2751790000000,349130,,0.02221220113,0.0789737417,0.004650900514
1992,Albertville,GBR,UK,Europe,winter,57580402,1630740000000,241930,,0.01586348958,0.04680067867,0.003222846393
1992,Albertville,GRC,Greece,Europe,winter,10399061,205208000000,128900,,0.002864957348,0.005889273378,0.001717128509
1992,Albertville,HND,Honduras,Americas,winter,5247836,8342633065,111890,,0.001445786914,0.0002394255916,0.001490531488
1992,Albertville,HUN,Hungary,Europe,winter,10369341,89012800009,89870,,0.002856769442,0.002554582245,0.001197194252
1992,Albertville,ISL,Iceland,Europe,winter,261057,7680561656,100250,,0.00007192160623,0.0002204247753,0.001335470388
