economy,time,EF.EFM.OVRL.XD,EF.EFM.RANK.XD
PRY,YR2000,0.12058,107.0
PRY,YR2004,0.10269,107.0
PRY,YR2008,0.12732,101.0
PRY,YR2012,0.14328,95.0
QAT,YR1996,0.00014663,138.0
QAT,YR2000,0.0082303,132.0
QAT,YR2004,0.022104,126.0
QAT,YR2008,0.0016938,142.0
QAT,YR2012,0.0,141.0
ROU,YR1996,1.3077,35.0
ROU,YR2000,1.2895,37.0
ROU,YR2004,1.4494,35.0
ROU,YR2008,1.7196,26.0
ROU,YR2012,1.7374,30.0
RUS,YR1996,1.1473,38.0
RUS,YR2000,1.241,39.0
RUS,YR2004,1.1208,40.0
RUS,YR2008,0.74733,60.0
RUS,YR2012,0.67992,58.0
RWA,YR1996,0.034577,116.0
RWA,YR2000,0.027094,126.0
RWA,YR2004,0.010814,134.0
RWA,YR2008,0.10286,104.0
RWA,YR2012,0.076665,107.0
SAU,YR1996,0.11688,93.0
SAU,YR2000,0.044851,121.0
SAU,YR2004,0.045511,118.0
SAU,YR2008,0.039176,121.0
SAU,YR2012,0.020171,125.0
SDN,YR1996,0.028294,121.0
SDN,YR2000,0.017508,128.0
SDN,YR2004,0.0045024,139.0
SDN,YR2008,0.0017869,141.0
SDN,YR2012,,
SEN,YR1996,0.17083,83.0
SEN,YR2000,0.27202,82.0
SEN,YR2004,0.40262,74.0
SEN,YR2008,0.28166,84.0
SEN,YR2012,0.25159,85.0
SGP,YR1996,1.5187,31.0
SGP,YR2000,1.7678,25.0
SGP,YR2004,1.774,27.0
SGP,YR2008,2.0598,24.0
SGP,YR2012,1.6418,32.0
SLE,YR1996,0.16547,85.0
SLE,YR2000,0.32021,77.0
SLE,YR2004,0.61598,61.0
SLE,YR2008,0.18957,92.0
SLE,YR2012,0.083719,103.0
SLV,YR1996,0.33383,73.0
SLV,YR2000,0.45311,71.0
SLV,YR2004,0.57681,63.0
SLV,YR2008,0.59991,66.0
SLV,YR2012,0.63274,62.0
SOM,YR1996,0.0012737,135.0
SOM,YR2000,0.034577,123.0
SOM,YR2004,0.020402,128.0
SOM,YR2008,0.036481,123.0
SOM,YR2012,0.0,139.0
SRB,YR1996,,
SRB,YR2000,,
SRB,YR2004,,
SRB,YR2008,1.2773,39.0
SRB,YR2012,1.1957,40.0
SUR,YR1996,0.010182,127.0
SUR,YR2000,0.067116,117.0
SUR,YR2004,0.042118,121.0
SUR,YR2008,0.028979,127.0
SUR,YR2012,0.035725,120.0
SVK,YR1996,1.8672,24.0
SVK,YR2000,1.4812,33.0
SVK,YR2004,1.4753,33.0
SVK,YR2008,1.6829,28.0
SVK,YR2012,1.8135,27.0
SVN,YR1996,2.39,19.0
SVN,YR2000,2.4229,18.0
SVN,YR2004,2.3182,18.0
SVN,YR2008,2.2185,22.0
SVN,YR2012,2.1708,23.0
SWE,YR1996,3.2344,14.0
SWE,YR2000,2.7734,15.0
SWE,YR2004,2.8637,15.0
SWE,YR2008,2.6238,15.0
SWE,YR2012,2.6403,16.0
SYR,YR1996,0.10472,98.0
SYR,YR2000,0.20007,90.0
SYR,YR2004,0.4794,68.0
SYR,YR2008,0.71276,61.0
SYR,YR2012,1.0417,45.0
TCD,YR1996,5.02e-19,146.0
TCD,YR2000,0.00040674,142.0
TCD,YR2004,0.0,146.0
TCD,YR2008,0.0,149.0
TCD,YR2012,0.0,145.0
TGO,YR1996,0.14048,86.0
TGO,YR2000,0.16592,96.0
TGO,YR2004,0.18964,91.0
TGO,YR2008,0.15857,96.0
TGO,YR2012,0.18024,93.0
THA,YR1996,1.5323,29.0
THA,YR2000,2.2107,19.0
THA,YR2004,2.1367,20.0
THA,YR2008,2.4269,18.0
THA,YR2012,2.4083,20.0
TJK,YR1996,0.13224,87.0
TJK,YR2000,0.10272,110.0
TJK,YR2004,0.085289,111.0
TJK,YR2008,0.059693,114.0
TJK,YR2012,0.046662,113.0
TKM,YR1996,0.031699,119.0
TKM,YR2000,0.029817,124.0
TKM,YR2004,0.021986,127.0
TKM,YR2008,0.0087182,133.0
TKM,YR2012,0.0029625,133.0
TUN,YR1996,0.53871,59.0
TUN,YR2000,0.6948,58.0
TUN,YR2004,0.86283,52.0
TUN,YR2008,0.98797,51.0
TUN,YR2012,1.1904,41.0
TUR,YR1996,1.3616,32.0
TUR,YR2000,1.8912,23.0
TUR,YR2004,1.9018,22.0
TUR,YR2008,2.2283,21.0
TUR,YR2012,2.5056,18.0
TZA,YR1996,0.043646,111.0
TZA,YR2000,0.18153,94.0
TZA,YR2004,0.26561,85.0
TZA,YR2008,0.40503,77.0
TZA,YR2012,0.338,80.0
UGA,YR1996,0.057408,108.0
UGA,YR2000,0.09442,113.0
UGA,YR2004,0.15351,96.0
UGA,YR2008,0.23391,88.0
UGA,YR2012,0.33515,81.0
UKR,YR1996,1.5869,28.0
UKR,YR2000,1.3613,36.0
UKR,YR2004,1.2229,38.0
UKR,YR2008,1.1648,44.0
UKR,YR2012,1.0032,47.0
URY,YR1996,0.48999,62.0
URY,YR2000,0.56575,62.0
URY,YR2004,0.47861,69.0
URY,YR2008,0.52805,70.0
URY,YR2012,0.35751,76.0
USA,YR1996,6.8277,3.0
USA,YR2000,6.3808,2.0
USA,YR2004,6.2631,2.0
USA,YR2008,5.3092,5.0
USA,YR2012,5.4859,5.0
UZB,YR1996,0.20037,79.0
UZB,YR2000,0.23698,85.0
UZB,YR2004,0.21196,89.0
UZB,YR2008,0.14498,97.0
UZB,YR2012,0.2132,89.0
VEN,YR1996,0.19595,80.0
VEN,YR2000,0.12529,104.0
VEN,YR2004,0.12099,104.0
VEN,YR2008,0.024365,129.0
VEN,YR2012,0.0,137.0
VNM,YR1996,0.34549,72.0
VNM,YR2000,0.71028,56.0
VNM,YR2004,0.99677,47.0
VNM,YR2008,1.3216,35.0
VNM,YR2012,1.3704,39.0
YEM,YR1996,5.1e-05,139.0
YEM,YR2000,0.0041983,138.0
YEM,YR2004,0.03176,124.0
YEM,YR2008,0.046095,117.0
YEM,YR2012,0.030929,121.0
ZAF,YR1996,0.82188,46.0
ZAF,YR2000,1.3908,34.0
ZAF,YR2004,1.4725,34.0
ZAF,YR2008,0.99972,50.0
ZAF,YR2012,1.0067,46.0
ZMB,YR1996,0.027963,122.0
ZMB,YR2000,0.1992,91.0
ZMB,YR2004,0.10726,106.0
ZMB,YR2008,0.088999,110.0
ZMB,YR2012,0.072511,108.0
ZWE,YR1996,0.19333,81.0
ZWE,YR2000,0.43621,72.0
ZWE,YR2004,0.35802,79.0
ZWE,YR2008,0.27363,85.0
ZWE,YR2012,0.14047,96.0
